"","Study","Site","Pre_Date","Post_Date","Subsample","Treatment","Cage","FishID","Tag","Pre_FL_mm","Post_FL_mm","Lab_FL_mm","Pre_Weight_g","Post_Weight_g","Lab_Weight_g","Pre_CF","Post_CF","Lab_CF","Lab_LiverWeight_g","Lab_HSI","Glycogen","Post_CTM","CTM_Recovered","Comments"
"79","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N29",NA,NA,45,NA,NA,0.6,NA,NA,0.65843621399177,NA,NA,NA,NA,NA,NA,"Dead in bucket, stiff NA"
"80","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N30",NA,NA,59,61,NA,1.33,1.2259,NA,0.647583248530765,0.540089258572303,0.0085,0.693368137694755,2.91651778428514,NA,NA,"Dead in bucket, stiff NA"
"81","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N31",NA,NA,43,NA,NA,0.5,NA,NA,0.628875444929377,NA,NA,NA,NA,NA,NA,"Dead in bucket, stiff NA"
"82","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N32",NA,NA,57,NA,NA,1.31,NA,NA,0.707370148979713,NA,NA,NA,NA,NA,NA,"Dead in bucket, stiff NA"
"83","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N33",NA,NA,53,56,NA,1.07,1.0185,NA,0.71871410627565,0.579958545918367,0.007,0.687285223367698,7.89827343247725,NA,NA,"Dead in bucket, stiff NA"
"84","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N34",NA,NA,53,NA,NA,0.94,NA,NA,0.631393700840291,NA,NA,NA,NA,NA,NA,"Dead in bucket, stiff NA"
"85","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N35",NA,NA,52,NA,NA,0.96,NA,NA,0.682749203459263,NA,NA,NA,NA,NA,NA,"Dead in bucket, stiff NA"
"86","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N36",NA,NA,54,57,NA,1.27,1.2537,NA,0.806533556876492,0.676969431889974,0.0102,0.813591768365638,5.02413382344079,NA,NA,"Dead in bucket, stiff NA"
"87","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N37",NA,NA,50,NA,NA,0.89,NA,NA,0.712,NA,NA,NA,NA,NA,NA,"Dead in bucket, stiff NA"
"88","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N38",NA,NA,52,NA,NA,1.01,NA,NA,0.718309057806099,NA,NA,NA,NA,NA,NA,"Dead in bucket, stiff NA"
"89","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N39",NA,NA,54,NA,NA,1.18,NA,NA,0.74937763552304,NA,NA,NA,NA,NA,NA,"Dead in bucket, stiff NA"
"90","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N40",NA,NA,50,NA,NA,0.8,NA,NA,0.64,NA,NA,NA,NA,NA,NA,"Dead in bucket, stiff NA"
"91","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N41",NA,NA,54,NA,NA,1.16,NA,NA,0.736676319666717,NA,NA,NA,NA,NA,NA,"Alive NA"
"92","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N42",NA,NA,54,NA,NA,1.06,NA,NA,0.673169740385104,NA,NA,NA,NA,NA,NA,"Alive NA"
"93","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N43",NA,NA,59,NA,NA,1.32,NA,NA,0.642714201549331,NA,NA,NA,NA,NA,NA,"Alive NA"
"94","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N44",NA,NA,46,NA,NA,0.52,NA,NA,0.53423193885099,NA,NA,NA,NA,NA,NA,"Alive NA"
"95","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N45",NA,NA,53,NA,NA,0.99,NA,NA,0.664978472161583,NA,NA,NA,NA,NA,NA,"Alive NA"
"96","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N46",NA,NA,59,NA,NA,1.34,NA,NA,0.652452295512199,NA,NA,NA,NA,NA,NA,"Alive NA"
"97","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N47",NA,NA,55,NA,NA,1.1,NA,NA,0.661157024793388,NA,NA,NA,NA,NA,NA,"Alive NA"
"98","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N48",NA,NA,60,NA,NA,1.37,NA,NA,0.634259259259259,NA,NA,NA,NA,NA,NA,"Alive NA"
"99","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C2N25",NA,NA,54,NA,NA,1.13,1.0602,NA,0.717624345882233,NA,0.0036,0.33955857385399,3.28502270993173,NA,NA,"Left in net, do not use for glycogen NA"
"100","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C2N26",NA,NA,53,56,NA,1.04,0.9974,NA,0.698563243482875,0.567943695335277,0.0073,0.731902947663926,4.14541213023352,NA,NA,"Very skinny fish NA"
"101","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C2N27",NA,NA,45,NA,NA,0.75,NA,NA,0.823045267489712,NA,NA,NA,NA,NA,NA,"LOE NA"
"102","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C2N28",NA,NA,51,54,NA,0.87,0.8164,NA,0.655856344844743,0.518467713255093,0.0036,0.440960313571779,2.01089936458557,NA,NA,"LOE NA"
"103","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C2N29",NA,NA,57,NA,NA,1.15,NA,NA,0.620973794905855,NA,NA,NA,NA,NA,NA,"LOE NA"
"104","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C2N30",NA,NA,53,NA,NA,1,NA,NA,0.671695426425841,NA,NA,NA,NA,NA,NA,"LOE NA"
"105","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"2","2024_SMS_C2N1",NA,NA,60,63,NA,1.41,1.3711,NA,0.652777777777778,0.54833691266042,0.0112,0.816862373276931,4.79423685947547,NA,NA,"Very skinny fish CTM crew buckets fish 1-24 first, DWR crew bucketed fish 31-57 later"
